pr_id,user_id,model_id,prompt,response,tags
F001,1,1,너 오늘 기분 어때?,나는 기분이 좋지 않아.,"{감성,비판적}"
F002,2,2,"안녕, 오늘 날씨 어때?",오늘은 맑고 따뜻할 거야.,"{날씨,정보}"
F003,3,1,코딩하는 법 알려줘,파이썬으로는 print부터 시작해봐.,"{코딩,학습,친절함}"
F004,4,1,AI의 미래는?,자기소개서를 준비해봐.,"{미래,감성,재정,여행}"
F005,2,2,자기계발 하려면?,강남에 맛집이 있어.,"{일상,AI,가이드,날씨}"
F006,5,3,오늘 기분은 어때?,파이썬은 print로 시작해봐.,"{공부,코딩,추천}"
F007,6,4,운동은 어떻게 시작해?,최근 인기 영화는 OOO야.,"{학습,준비,맛집}"
F008,7,1,파이썬 시작하려면?,제주도를 추천해.,"{조언,시간관리,준비}"
F009,8,2,스트레스 해소법은?,운동은 하루 30분씩 해.,"{일상,공부,미래,취업}"
F010,9,3,효과적인 공부법?,적금부터 시작해.,"{해소,추천,여행}"
F011,10,4,AI의 미래는?,제주도를 추천해.,"{학습,설명,날씨}"
F012,11,1,날씨가 궁금해.,긍정적으로 생각해.,"{요약,추천,가이드,추천}"
F013,12,2,재테크 어떻게 시작해?,오늘은 기분이 좋아.,"{스트레스,추천,설명}"
F014,13,3,오늘 기분은 어때?,AI는 다양한 산업에 쓰일 거야.,"{정보,코딩,가이드}"
F015,14,4,스트레스 해소법은?,자기소개서를 준비해봐.,"{준비,뉴스,맛집,요리}"
F016,15,1,운동은 어떻게 시작해?,파스타를 만들어봐.,"{감성,조언,코딩}"
F017,16,2,취업 준비 어떻게?,운동으로 스트레스를 풀어.,"{공부,일상,정보,준비}"
F018,17,3,자기계발 하려면?,자기소개서를 준비해봐.,"{레시피,해소,스트레스}"
F019,1,4,자기계발 하려면?,AI는 다양한 산업에 쓰일 거야.,"{정보,건강,코딩,인생}"
F020,2,1,효과적인 공부법?,긍정적으로 생각해.,"{요리,독서,영화,인생}"
F021,5,2,효과적인 공부법?,적금부터 시작해.,"{취업,요리,날씨,코딩}"
F022,6,3,AI의 미래는?,맑고 화창해.,"{자기계발,요약,공부,효율}"
F023,7,4,자기계발 하려면?,계획을 세우는 게 좋아.,"{효율,취업,감성,요약}"
F024,8,1,효율적인 시간 관리법은?,운동은 하루 30분씩 해.,"{정보,일상,뉴스}"
F025,9,2,취업 준비 어떻게?,계획을 세우는 게 좋아.,"{영화,해소,독서}"
F026,10,3,날씨가 궁금해.,맑고 화창해.,"{인생,추천,영화,맛집}"
F027,11,4,추천할 영화 있어?,파스타를 만들어봐.,"{날씨,조언,정보,기술}"
F028,12,1,AI란 무엇일까?,할 일을 정리해보자.,"{미래,인생,코딩}"
F029,13,2,스트레스 해소법은?,적금부터 시작해.,"{건강,추천,시간관리,맛집}"
F030,14,3,AI란 무엇일까?,긍정적으로 생각해.,"{준비,코딩,학습,일상}"
F031,15,4,날씨가 궁금해.,파이썬은 print로 시작해봐.,"{요약,건강,인생,준비}"
F032,16,1,쉬운 요리 알려줘.,적금부터 시작해.,"{학습,맛집,재정}"
F033,17,2,취업 준비 어떻게?,파스타를 만들어봐.,"{여행,시간관리,미래}"
F034,1,3,운동은 어떻게 시작해?,파이썬은 print로 시작해봐.,"{조언,날씨,요리}"
F035,2,4,취업 준비 어떻게?,계획을 세우는 게 좋아.,"{재테크,건강,설명}"
F036,5,1,효율적인 시간 관리법은?,할 일을 정리해보자.,"{요리,AI,영화,감성}"
F037,6,2,인생 조언 해줘.,긍정적으로 생각해.,"{시간관리,자기계발,추천}"
